Class,Type,Group,Food,Allergy
Plant origin,Vegetable,Umbelliferous vegetable,Parsley,Hypersensitivity
Plant origin,Vegetable,Umbelliferous vegetable,Parsnip,Hypersensitivity
Plant origin,Fruit,Tropical fruit,Passion fruit,Oral Allergy Syndrome
Plant origin,Fruit,Stone fruit,Peach,Stone Fruit Allergy
Plant origin,Cereal grain and pulse,Pulse,Peanut,Peanut Allergy
Plant origin,Fruit,Pome fruit,Pear,Oral Allergy Syndrome
Plant origin,Vegetable,Legumes vegetable,Peas,Legume Allergy
Plant origin,Cereal grain and pulse,Pulse,Peas,Legume Allergy
Plant origin,Nut and seed,Oil seed,Pecan,Nut Allergy
Plant origin,Cereal grain and pulse,Pulse,Pegia,Legume Allergy
Plant origin,Spice and herb,Herb,Peppermint,Mint Allergy
Animal origin,Aquatic animal,Fish,Percifomes,Fish Allergy
Animal origin,Terrestrial mammal,Offal,Pig,Alpha-gal Syndrome
Plant origin,Fruit,Tropical fruit,Pineapple,Oral Allergy Syndrome
Plant origin,Cereal grain and pulse,Cereal grain,Popcorn,Corn Allergy
Plant origin,Vegetable,Potato,Potato,Potato Allergy
Plant origin,Fruit,Stone fruit,Prune,Stone Fruit Allergy
Plant origin,Vegetable,Cucurbitaceous vegetable,Pumpkin,
Plant origin,Vegetable,Cruciferous vegetable,Qing-geng-cai,Cruciferous Allergy
Plant origin,Fruit,Pome fruit,Quince,Oral Allergy Syndrome
Plant origin,Vegetable,Cruciferous vegetable,Radish leaf,
Plant origin,Vegetable,Cruciferous vegetable,Radish root,Hypersensitivity
Plant origin,Nut and seed,Oil seed,Rapeseed,Seed Allergy
Plant origin,Fruit,Berry,Raspberry,Salicylate Allergy
Plant origin,Cereal grain and pulse,Cereal grain,Rice,Rice Allergy
Plant origin,Oil,Oil,Ricebran oil,
Animal origin,Bee product,Bee product,Royal Jelly,Honey Allergy
Plant origin,Cereal grain and pulse,Cereal grain,Rye,Gluten Allergy
Plant origin,Nut and seed,Oil seed,Safflower seed,Seed Allergy
Animal origin,Aquatic animal,Fish,Salmon,Fish Allergy
Plant origin,Vegetable,Composite vegetable,Salsify,Insulin Allergy
Plant origin,Spice and herb,Spice,Sansho,Pepper Allergy
Animal origin,Aquatic animal,Fish,Sea Bass,Fish Allergy
Animal origin,Aquatic animal,Fish,Sea Bream,Fish Allergy
Plant origin,Nut and seed,Oil seed,Sesame seed,Seed Allergy
Plant origin,Vegetable,Liliaceous vegetable,Shallot,Allium Allergy
Animal origin,Terrestrial mammal,Offal,Sheep,Alpha-gal Syndrome
Animal origin,Aquatic animal,Shellfish,Shelled mollusc,Fish Allergy
Plant origin,Vegetable,Mushroom,Shiitake  mushroom,Mushroom Allergy
Plant origin,Vegetable,Composite vegetable,Shungiku,Insulin Allergy
Animal origin,Dairy,Dairy,Sour cream,Milk allergy / Lactose intolerance
Plant origin,Cereal grain and pulse,Pulse,Soybean,Soy Allergy
Plant origin,Spice and herb,Herb,Spearmint,Mint Allergy
Plant origin,Vegetable,Miscellaneous vegetable,Spinach,Histamine Allergy
Plant origin,Vegetable,Cucurbitaceous vegetable,Squash,
Plant origin,Fruit,Berry,Strawberry,Salicylate Allergy
Plant origin,Vegetable,Sugar source,Sugar,Sugar Allergy / Intolerance
Plant origin,Vegetable,Sugar source,Sugar beet,Sugar Allergy / Intolerance
Plant origin,Vegetable,Sugar source,Sugarcane,Sugar Allergy / Intolerance
Plant origin,Cereal grain and pulse,Pulse,Sultani,Legume Allergy
Plant origin,Cereal grain and pulse,Pulse,Sultapya,Legume Allergy
Plant origin,Oil,Oil,Sunflower oil,
Plant origin,Nut and seed,Oil seed,Sunflower seed,Seed Allergy
Plant origin,Cereal grain and pulse,Cereal grain,Sweet corn,Corn Allergy
Plant origin,Vegetable,Solanceous vegetable,Sweet Pepper,Nightshade Allergy
Plant origin,Vegetable,Potato,Sweet potato,Potato Allergy
Plant origin,Vegetable,Potato,Taro,Potato Allergy
Plant origin,Tea,Tea,Tea,Tannin Allergy
Animal origin,Aquatic animal,Fish,Tetraodontiformes,Fish Allergy
Plant origin,Vegetable,Solanceous vegetable,Tomato,Nightshade Allergy
Animal origin,Aquatic animal,Fish,Trout,Fish Allergy
Animal origin,Aquatic animal,Fish,Tuna,Fish Allergy
Animal origin,Poultry,Offal,Turkey,Poultry Allergy
Plant origin,Vegetable,Cruciferous vegetable,Turnip leaf,
Plant origin,Vegetable,Cruciferous vegetable,Turnip root,Thyroid
Plant origin,Oil,Oil,Vegetable oil,
Plant origin,Nut and seed,Oil seed,Walnut,Nut Allergy
Plant origin,Vegetable,Cucurbitaceous vegetable,Water melon,
Plant origin,Vegetable,Cruciferous vegetable,Watercress,
Plant origin,Vegetable,Liliaceous vegetable,Welsh,Allium Allergy
Plant origin,Cereal grain and pulse,Cereal grain,Wheat,Gluten Allergy
Animal origin,Dairy,Dairy,Whey,Milk allergy / Lactose intolerance
Plant origin,Cereal grain and pulse,Pulse,White bean,Legume Allergy
Plant origin,Vegetable,Potato,Yam,Potato Allergy
Animal origin,Dairy,Dairy,Yogurt ,Milk allergy / Lactose intolerance
